station_name,,lines,historical,borough,county,latitude,longitude,wifi_available,at_t,sprint,t_mobile,verizon
145th St mezzanine,,,FALSE,Manhattan,New York County,40.824783,-73.944216,No,Yes,Yes,Yes,Yes
Grand Central,,456,FALSE,Manhattan,New York County,40.751776,-73.976848,No,Yes,Yes,Yes,Yes
W. 4th St,,,TRUE,Manhattan,New York County,40.732338,-74.000495,No,No,Yes,No,No
145th St,,23,TRUE,Manhattan,New York County,40.820421,-73.936245,No,Yes,Yes,Yes,Yes
5th Ave,,7,FALSE,Manhattan,New York County,40.753821,-73.981963,No,Yes,Yes,Yes,Yes
103rd St,,,FALSE,Manhattan,New York County,40.796092,-73.961454,No,Yes,Yes,Yes,Yes
Halsey St,,,FALSE,Brooklyn,Kings County,40.695602,-73.904084,No,No,No,No,No
34th St,,123,FALSE,Manhattan,New York County,40.750373,-73.991057,No,No,No,No,No
21st St/Van Alst Ave,,,FALSE,Queens,Queens County,40.744065,-73.949724,No,Yes,Yes,Yes,Yes
Sterling St,,25,FALSE,Brooklyn,Kings County,40.662742,-73.95085,No,No,No,No,No
149th S. Grand Concourse (LL),,25,TRUE,Bronx,Bronx County,40.81841,-73.926718,No,Yes,Yes,No,Yes
Broadway-Nassau,,,FALSE,Manhattan,New York County,40.710197,-74.007691,No,Yes,Yes,Yes,Yes
103rd St,,6,FALSE,Manhattan,New York County,40.7906,-73.947478,No,Yes,Yes,Yes,Yes
